rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city
68,https://www.inc.com/profile/fetch-rewards,Fetch Rewards,fetchrewards.com,WI,9,4322.5573,Software,63,31,2013,1,"Madison, WI",Madison
69,https://www.inc.com/profile/10x-genomics,10X Genomics,10xgenomics.com,CA,1463,4308.7444,Health,380,110,2012,1,San Francisco,Pleasanton
70,https://www.inc.com/profile/4th-heart,4th & Heart,http://fourthandheart.com,CA,143,4283.2753,Food & Beverage,7,5,2014,1,Los Angeles,Venice Beach
71,https://www.inc.com/profile/greenprint,GreenPrint,http://greenprintcorp.com,GA,62,4281.4016,Energy,13,7,2014,1,Atlanta,Atlanta
72,https://www.inc.com/profile/sky-marketing-corporation,Sky Marketing Corporation,smcdistribution.com,TX,47,4279.7746,Consumer Products & Services,30,3,2015,1,Austin,Austin
73,https://www.inc.com/profile/pendo,Pendo,pendo.io,NC,209,4266.8158,Software,258,28,2013,1,"Raleigh, NC",Raleigh
74,https://www.inc.com/profile/core-software-technologies,Core Software Technologies,coresofttech.com,NJ,46,4246.751,Software,39,1,2011,3,New York City,Plainsboro
75,https://www.inc.com/profile/ecosystems,EcoSystems,ecosystems.com,FL,67,4233.6744,Environmental Services,36,2,2012,1,Miami,Miami
78,https://www.inc.com/profile/sydantech,SydanTech,sydantech.com,MD,43,4090.7424,Government Services,14,1,2000,1,"Washington, DC",Bethesda
80,https://www.inc.com/profile/wandrd,Wandrd,http://wandrd.com,UT,47,4088.016,Consumer Products & Services,12,2,2015,1,"Provo-Orem, UT",Orem
81,https://www.inc.com/profile/confidio,Confidio,confidio.com,MD,163,4035.1825,Health,38,8,2014,1,Baltimore,Towson
82,https://www.inc.com/profile/dynamic-logistix,Dynamic Logistix,dynamiclogistix.com,KS,544,3839.842,Logistics & Transportation,50,4,2015,1,"Kansas City, MO-KS",Overland Park
83,https://www.inc.com/profile/asset-panda,Asset Panda,http://assetpanda.com,TX,51,3778.5391,Software,50,15,2012,2,Dallas,Frisco
83,https://www.inc.com/profile/seabay-building-group,SeaBay Building Group,seabay-group.com,CA,258,3775.1386,Construction,25,3,2013,1,San Francisco,Hayward
84,https://www.inc.com/profile/blue-fire-leads,Blue Fire Leads,http://bluefireleads.com/home,UT,9,3727.5346,Advertising & Marketing,13,10,2014,2,"Provo-Orem, UT",Provo
85,https://www.inc.com/profile/loanatik,Loanatik,loanatik.com,AZ,9,3692.351,Financial Services,19,3,2015,1,Phoenix,Phoenix
86,https://www.inc.com/profile/supportninja,SupportNinja,http://supportninja.com,TX,45,3683.6824,Business Products & Services,463,22,2015,1,Austin,Austin
87,https://www.inc.com/profile/grove-collaborative,Grove Collaborative,http://grove.co,CA,1041,3665.0612,Consumer Products & Services,1200,30,2012,2,San Francisco,San Francisco
88,https://www.inc.com/profile/cisoshare,Cisoshare,http://cisoshare.com,CA,39,3623.0563,Security,25,3,2015,1,Los Angeles,San Juan Capistrano
89,https://www.inc.com/profile/digitalonus,DigitalOnUS,digitalonus.com,CA,104,3534.7663,IT System Development,178,11,2015,2,San Jose,San Jose
90,https://www.inc.com/profile/gforce-life-sciences,GForce Life Sciences,gforcelifesciences.com,IL,144,3531.5913,Human Resources,49,4,2013,2,Chicago,Chicago
91,https://www.inc.com/profile/capitol-bridge,Capitol Bridge,capitolbridgellc.com,VA,64,3469.3889,Government Services,35,5,2012,2,"Washington, DC",Arlington
92,https://www.inc.com/profile/kentucky-counseling-center,Kentucky Counseling Center,kentuckycounselingcenter.com,KY,49,3417.6308,Health,19,1,2014,1,"Louisville/Jefferson County, KY-IN",LOUISVILLE
94,https://www.inc.com/profile/us-mobile,US Mobile,usmobile.com,NY,73,3387.6552,Telecommunications,65,7,2014,1,New York City,White Plains
95,https://www.inc.com/profile/feedonomics,Feedonomics,feedonomics.com,CA,74,3371.028,Advertising & Marketing,85,1,2014,1,Los Angeles,Woodland Hills
